table_name,column_name,data_type
AnimalAnimalHealthEvent,AnimalHealthEventsId,uuid
AnimalAnimalHealthEvent,AnimalsId,uuid
AnimalEarTags,EarTag,character varying
AnimalEarTags,RanchId,uuid
AnimalEarTags,CreatedBy,uuid
AnimalEarTags,Created,timestamp with time zone
AnimalEarTags,LastModifiedBy,uuid
AnimalEarTags,LastModified,timestamp with time zone
AnimalHealthEvents,Id,uuid
AnimalHealthEvents,RanchId,uuid
AnimalHealthEvents,Type,USER-DEFINED
AnimalHealthEvents,Date,date
AnimalHealthEvents,ClosingDate,date
AnimalHealthEvents,Title,character varying
AnimalHealthEvents,Description,character varying
AnimalHealthEvents,Dosage,text
AnimalHealthEvents,ReminderType,USER-DEFINED
AnimalHealthEvents,CreatedBy,uuid
AnimalHealthEvents,Created,timestamp with time zone
AnimalHealthEvents,LastModifiedBy,uuid
AnimalHealthEvents,LastModified,timestamp with time zone
AnimalHealthEvents,WeightTagType,USER-DEFINED
AnimalHealthEvents,Cost,numeric
AnimalHealthEvents,Quantity,numeric
AnimalLocations,AnimalId,uuid
AnimalLocations,Location,USER-DEFINED
AnimalLocations,DistanceFromLastLocation,double precision
AnimalLocations,Time,timestamp with time zone
AnimalLocations,DeviceId,uuid
AnimalLocations,IsLowAccuracy,boolean
AnimalLocations,Inactivity,integer
AnimalLocations,InactivityTime,bigint
AnimalLotUse,AnimalId,uuid
AnimalLotUse,LotUseId,uuid
AnimalRiskZone,AnimalId,uuid
AnimalRiskZone,RiskZoneId,uuid
AnimalRiskZone,LastNotificationSent,timestamp with time zone
AnimalRiskZone,LastOutside,timestamp with time zone
AnimalRiskZone,LastInside,timestamp with time zone
AnimalRiskZone,IsInside,boolean
AnimalRiskZone,IsSnoozed,boolean
AnimalStatusEvents,Id,uuid
AnimalStatusEvents,AnimalId,uuid
AnimalStatusEvents,Type,USER-DEFINED
AnimalStatusEvents,LastModified,timestamp with time zone
AnimalStatusEvents,Title,character varying
AnimalStatusEvents,Description,character varying
AnimalStatusEvents,RelatedAnimalId,uuid
AnimalStatusEvents,BirthType,USER-DEFINED
AnimalStatusEvents,ClosingDate,date
AnimalStatusEvents,Created,timestamp with time zone
AnimalStatusEvents,CreatedBy,uuid
AnimalStatusEvents,Date,date
AnimalStatusEvents,LaborHadComplications,boolean
AnimalStatusEvents,LastModifiedBy,uuid
AnimalStatusEvents,MatingType,USER-DEFINED
AnimalStatusEvents,DurationType,USER-DEFINED
AnimalStatusEvents,SharedId,uuid
AnimalStatusEvents,DeregisteredLocation,character varying
AnimalStatusEvents,DeregisteredReason,USER-DEFINED
AnimalStatusEvents,ExternalAnimalEarTag,character varying
AnimalStatusEvents,ExternalAnimalName,character varying
AnimalStatusEvents,WeaningWeightId,uuid
AnimalStatusEvents,SalePrice,numeric
AnimalStatusEvents,AbortionReason,USER-DEFINED
AnimalWeights,Id,uuid
AnimalWeights,AnimalId,uuid
AnimalWeights,Tag,USER-DEFINED
AnimalWeights,Title,character varying
AnimalWeights,Weight,numeric
AnimalWeights,Date,date
AnimalWeights,WeightGroupId,uuid
AnimalWeights,CreatedBy,uuid
AnimalWeights,Created,timestamp with time zone
AnimalWeights,LastModifiedBy,uuid
AnimalWeights,LastModified,timestamp with time zone
Animals,Id,uuid
Animals,RanchId,uuid
Animals,EarTag,character varying
Animals,BirthDate,date
Animals,Sex,USER-DEFINED
Animals,DeviceId,uuid
Animals,CreatedBy,uuid
Animals,Created,timestamp with time zone
Animals,LastModifiedBy,uuid
Animals,LastModified,timestamp with time zone
Animals,Name,character varying
Animals,Description,character varying
Animals,ZoneId,uuid
Animals,LastIsOutsideThePolygon,boolean
Animals,Location,USER-DEFINED
Animals,LocationLastModified,timestamp with time zone
Animals,ShouldNotifyOnNextLocation,boolean
Animals,IsFavorite,boolean
Animals,FatherId,uuid
Animals,MotherId,uuid
Animals,LastNoActivityNotification,timestamp with time zone
Animals,GuideCertificate,character varying
Animals,Origin,character varying
Animals,RegisterReason,USER-DEFINED
Animals,LastBirthNotification,timestamp with time zone
Animals,IntervalFrequency,USER-DEFINED
Animals,Deleted,timestamp with time zone
Animals,IsDeregistered,boolean
Animals,ExternalFatherEarTag,character varying
Animals,ExternalFatherName,character varying
Animals,DateOfPurchase,date
Animals,SelfieXsUrl,text
Animals,SelfieSUrl,text
Animals,Cost,numeric
Animals,Specie,USER-DEFINED
Animals,IsLowAccuracyLocation,boolean
Animals,Race,character varying
Animals,ExtraData,jsonb
Animals,LotId,uuid
Animals,CattleCode,character varying
Animals,LastIsOutsideThePerimeter,boolean
Animals,LastValidLocation,USER-DEFINED
Animals,LastValidLocationModifiedAt,timestamp with time zone
Animals,LastNoMovementNotification,timestamp with time zone
Animals,ConfigAnimalChangeAreaChangingToZoneId,uuid
Animals,ConfigAnimalChangeAreaMinutesStartingTime,timestamp with time zone
Animals,ConfigOutsideFencePerimeterActiveModeCommandCooldownSentAt,timestamp with time zone
AnimalsZoneUses,AnimalId,uuid
AnimalsZoneUses,ZoneUseId,uuid
BaseUsers,Id,uuid
BaseUsers,Roles,ARRAY
BaseUsers,Locale,character varying
BaseUsers,Email,character varying
BaseUsers,Phone,character varying
BaseUsers,CreatedBy,uuid
BaseUsers,Created,timestamp with time zone
BaseUsers,LastModifiedBy,uuid
BaseUsers,LastModified,timestamp with time zone
BaseUsers,Name,character varying
BaseUsers,Description,character varying
BaseUsers,Type,USER-DEFINED
BaseUsers,LocaleType,USER-DEFINED
BaseUsers,TenantId,uuid
Customers,Id,uuid
Customers,Number,integer
Customers,Email,character varying
Customers,Phone,character varying
Customers,BillingAddressLine1,character varying
Customers,BillingAddressLine2,character varying
Customers,BillingAddressCity,character varying
Customers,BillingAddressState,character varying
Customers,BillingAddressPostal,character varying
Customers,BillingAddressCountry,character varying
Customers,TaxType,USER-DEFINED
Customers,TaxNumber,character varying
Customers,CreatedBy,uuid
Customers,Created,timestamp with time zone
Customers,LastModifiedBy,uuid
Customers,LastModified,timestamp with time zone
Customers,Name,character varying
Customers,Description,character varying
Customers,Status,USER-DEFINED
